filename,label,transcript
audio_710.wav,1.0," ඵේකට කොට ක෯ට බෙන නෙන්඀් ොට කසරෙනෂම්, ින්නිගට, දැන්ට දිනරිරෙදි මෙන්කටිකට සිටියෙරක් හැට කේටන්ත් කිට කැටන්න්කකට ඔකට සතාන පෙන් හාන්ය�  एह दाो़े भुषे बीटस कि Witcher Let it be.  आबेमाने 5 कायाने ए है विस हींफस बें कहीं कहीं वार कोथ नहीं कही बहीं पूरी बिज्यो मेंईत इवार का बीण मட wherein बसाके में कहीं लिपय डढीगा हैॉ  विं complaints याअन் Laanumnyang naathu?  विंथना की बगान्सनकता Around games,as connecting the game and a team,"
audio_1265.wav,1.0," ëMy favourite hobby is cultivation of plants, such as gardening, offers you a re-wending  the experience with a gardening, I can gain immense of plants to plant and the flowers  and herbs to unvegetables."
audio_1114.wav,1.5," My Girl is to become an Electrical Employee and also I am studying the Electronics Engineering  to become an Electrical Engineer, how to study about Electrical and to achieve my  Girl is to have about the Electronics and we have prepared the topics thoroughly to reach the girls."
audio_946.wav,1.5," The playground looks like very clear and neat as there are a lot of colorful things like  basketball, court,  for playing or we can do zin zing on swings.  Group of friends together play very well and they laugh each other."
audio_1127.wav,2.0," My goal is to bring my parents to live with me and this is the only goal I have in my life and it's long term goal or short term goal whatever you want to say.  My parents send me to study far from home because of my future.  So that's my responsibility for their happiness I will bring to them with me because every parent's love their child no matter how they want to live with you.  And the challenges I face during this is competition there is very high competition in the market.  But I still, but this thing motivates me to focus and determine on the path to achieving my goal."
audio_669.wav,2.0," Today, I am going to speak about the topic named Crowded Market.  The market is always crowded with carts, horses, monkeys and camels and also cows.  They came loaded with the produce of the season such as vegetables and cotton and fishes  all in seed, vegetables etc.  Whenever I visited the Crowded Market, I find the shouting loudly to sell their goods.  They sell their goods by shouting it loudly.  They try to attract the people by several names and they also speak about the type of  the item they are selling and the price of the item also and how much amount it costs  per kg and per litre also."
audio_1029.wav,2.0," I would like to go the Sachi for the Sachi's Tup is a very famous place in the MP and there  a local food will be a good, a very best food like Pao Aji in the latest it is like a sandwich  and a Maima sandwich is the famous food of the Sachi and this is made by a Samrat Ashok  they are the powerful emperor of the India he becomes its empire becomes  over all the Indian out of the India he will be  established our empire through defeat the many kings and he after that he made us to  call the Sachi's Tup for Buddha's it establishes in the Sachi"
audio_713.wav,2.0," There is someone to stole some products to the market, and they hear the loud voice of the vendor shouting at the man.  The consumers became scared in their run."
audio_845.wav,2.5," The best idea of my life is my 10th results.  It was May 14, 2019, I think it was May 14, 2019.  I got 10 by 10 CGPA, but I didn't like, because I don't want to compare with others.  My friends got 10 CGPA only, but my parents are compared with all members.  They have got very, very better than me, they will scold me, otherwise they will be very happy.  And only if I got 8.9 CGPA, but they compared with the toppers, they got 9, why didn't you get 9 CGPA?  They will scold me.  If I didn't get 10 CGPA, then I would be very happy person.  And then I don't want to compare with others.  The talent describes you more, when you..."
audio_150.wav,2.0," I'm going to make it shine right now.  This is my first time watching the video,  I mean to say it's so long.  And I'm so excited for the moment I come here.  I'll be in my next video.  Please, please.  Let's see how it works.  With the kind of co-workers,  I just want to show you how to make it work.  Thank you so much,  it was really good to have you all here with me.  I can't wait to talk to you about this,  I'm really excited about it.  See you soon, bells are lapping,  I was not so happy and needed to say goodbye.  Thank you, see you soon, I love you.  See you soon, bye bye."
